Número do Teste,Arquivo,Algoritmo,Tempo Total,Matriz de Distâncias Igual
Entrada 10.txt_Bellman-Ford_1,Entrada 10.txt,Bellman-Ford,8.606910705566406e-05,True
Entrada 10.txt_Bellman-Ford_2,Entrada 10.txt,Bellman-Ford,8.416175842285156e-05,True
Entrada 10.txt_Bellman-Ford_3,Entrada 10.txt,Bellman-Ford,8.20159912109375e-05,True
Entrada 10.txt_Bellman-Ford_4,Entrada 10.txt,Bellman-Ford,8.058547973632812e-05,True
Entrada 10.txt_Bellman-Ford_5,Entrada 10.txt,Bellman-Ford,7.987022399902344e-05,True
Entrada 10.txt_Bellman-Ford_6,Entrada 10.txt,Bellman-Ford,8.845329284667969e-05,True
Entrada 10.txt_Bellman-Ford_7,Entrada 10.txt,Bellman-Ford,8.034706115722656e-05,True
Entrada 10.txt_Dijkstra_1,Entrada 10.txt,Dijkstra,2.6702880859375e-05,True
Entrada 10.txt_Dijkstra_2,Entrada 10.txt,Dijkstra,1.9073486328125e-05,True
Entrada 10.txt_Dijkstra_3,Entrada 10.txt,Dijkstra,1.9311904907226562e-05,True
Entrada 10.txt_Dijkstra_4,Entrada 10.txt,Dijkstra,1.811981201171875e-05,True
Entrada 10.txt_Dijkstra_5,Entrada 10.txt,Dijkstra,1.8358230590820312e-05,True
Entrada 10.txt_Dijkstra_6,Entrada 10.txt,Dijkstra,1.9550323486328125e-05,True
Entrada 10.txt_Dijkstra_7,Entrada 10.txt,Dijkstra,1.8358230590820312e-05,True
Entrada 100.txt_Bellman-Ford_1,Entrada 100.txt,Bellman-Ford,0.11695647239685059,True
Entrada 100.txt_Bellman-Ford_2,Entrada 100.txt,Bellman-Ford,0.08391189575195312,True
Entrada 100.txt_Bellman-Ford_3,Entrada 100.txt,Bellman-Ford,0.08416938781738281,True
Entrada 100.txt_Bellman-Ford_4,Entrada 100.txt,Bellman-Ford,0.08368659019470215,True
Entrada 100.txt_Bellman-Ford_5,Entrada 100.txt,Bellman-Ford,0.08594655990600586,True
Entrada 100.txt_Bellman-Ford_6,Entrada 100.txt,Bellman-Ford,0.08162498474121094,True
Entrada 100.txt_Bellman-Ford_7,Entrada 100.txt,Bellman-Ford,0.08618450164794922,True
Entrada 100.txt_Dijkstra_1,Entrada 100.txt,Dijkstra,0.001985788345336914,True
Entrada 100.txt_Dijkstra_2,Entrada 100.txt,Dijkstra,0.0013763904571533203,True
Entrada 100.txt_Dijkstra_3,Entrada 100.txt,Dijkstra,0.001220703125,True
Entrada 100.txt_Dijkstra_4,Entrada 100.txt,Dijkstra,0.0011439323425292969,True
Entrada 100.txt_Dijkstra_5,Entrada 100.txt,Dijkstra,0.0014948844909667969,True
Entrada 100.txt_Dijkstra_6,Entrada 100.txt,Dijkstra,0.0012042522430419922,True
Entrada 100.txt_Dijkstra_7,Entrada 100.txt,Dijkstra,0.0011382102966308594,True
Entrada 1000.txt_Bellman-Ford_1,Entrada 1000.txt,Bellman-Ford,125.75670981407166,True
Entrada 1000.txt_Bellman-Ford_2,Entrada 1000.txt,Bellman-Ford,134.45477962493896,True
Entrada 1000.txt_Bellman-Ford_3,Entrada 1000.txt,Bellman-Ford,137.71600437164307,True
Entrada 1000.txt_Bellman-Ford_4,Entrada 1000.txt,Bellman-Ford,144.47152972221375,True
Entrada 1000.txt_Bellman-Ford_5,Entrada 1000.txt,Bellman-Ford,126.89135885238647,True
Entrada 1000.txt_Bellman-Ford_6,Entrada 1000.txt,Bellman-Ford,125.3382077217102,True
Entrada 1000.txt_Bellman-Ford_7,Entrada 1000.txt,Bellman-Ford,127.7520158290863,True
Entrada 1000.txt_Dijkstra_1,Entrada 1000.txt,Dijkstra,0.17476606369018555,True
Entrada 1000.txt_Dijkstra_2,Entrada 1000.txt,Dijkstra,0.2394702434539795,True
Entrada 1000.txt_Dijkstra_3,Entrada 1000.txt,Dijkstra,0.1762244701385498,True
Entrada 1000.txt_Dijkstra_4,Entrada 1000.txt,Dijkstra,0.19925165176391602,True
Entrada 1000.txt_Dijkstra_5,Entrada 1000.txt,Dijkstra,0.17656278610229492,True
Entrada 1000.txt_Dijkstra_6,Entrada 1000.txt,Dijkstra,0.17720437049865723,True
Entrada 1000.txt_Dijkstra_7,Entrada 1000.txt,Dijkstra,0.32749223709106445,True
Entrada 150.txt_Bellman-Ford_1,Entrada 150.txt,Bellman-Ford,0.2803831100463867,True
Entrada 150.txt_Bellman-Ford_2,Entrada 150.txt,Bellman-Ford,0.33162379264831543,True
Entrada 150.txt_Bellman-Ford_3,Entrada 150.txt,Bellman-Ford,0.2834641933441162,True
Entrada 150.txt_Bellman-Ford_4,Entrada 150.txt,Bellman-Ford,0.2864866256713867,True
Entrada 150.txt_Bellman-Ford_5,Entrada 150.txt,Bellman-Ford,0.28917479515075684,True
Entrada 150.txt_Bellman-Ford_6,Entrada 150.txt,Bellman-Ford,0.29453420639038086,True
Entrada 150.txt_Bellman-Ford_7,Entrada 150.txt,Bellman-Ford,0.29914093017578125,True
Entrada 150.txt_Dijkstra_1,Entrada 150.txt,Dijkstra,0.002966642379760742,True
